SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,55,細懸浮微粒,普通,2.1,0.22,16.9,15,19,13,6.3,7.7,1.4,1.5,199,2020-05-06 06:00,,0.3,17,28,2,121.760056,25.129167,1
汐止,新北市,65,細懸浮微粒,普通,3.1,0.33,7.2,14,25,18,20.1,27.7,7.6,1.1,235,2020-05-06 06:00,,0.3,21,39,3,121.6423,25.067131,2
萬里,新北市,41,,良好,0.5,0.13,22.1,20,13,8,3.5,4.1,0.6,4.7,254,2020-05-06 06:00,,0.2,13,21,3,121.689881,25.179667,3
新店,新北市,62,細懸浮微粒,普通,2.3,0.44,4.6,14,21,11,15.2,17.4,2.1,1.1,176,2020-05-06 06:00,,0.3,20,29,2,121.537778,24.977222,4
土城,新北市,65,細懸浮微粒,普通,1.6,0.2,16,19,11,10,9.5,10.9,1.3,1.6,187,2020-05-06 06:00,,0.3,21,30,3,121.451861,24.982528,5
板橋,新北市,62,細懸浮微粒,普通,3,0.26,11.3,15,19,15,12.4,13.8,1.3,1.9,240,2020-05-06 06:00,,0.4,20,32,3,121.458667,25.012972,6
新莊,新北市,58,細懸浮微粒,普通,2.8,0.17,14.1,12,13,10,6.9,7.1,0.3,2.3,215,2020-05-06 06:00,,0.4,18,29,3,121.4325,25.037972,7
菜寮,新北市,62,細懸浮微粒,普通,2.7,0.32,8.6,12,19,11,13.2,16,2.9,1.2,135,2020-05-06 06:00,,0.5,20,32,2,121.481028,25.06895,8
基隆,基隆市,48,,良好,2,0.31,50.2,22,25,18,7.5,8.6,1.1,0.9,303,2020-05-06 13:00,,0.3,15,29,2,121.760056,25.129167,1
基隆,基隆市,48,,良好,1.6,0.27,45.6,52,22,10,6.2,6.8,0.6,1.4,100,2020-05-06 23:00,,0.3,10,18,2,121.760056,25.129167,1
汐止,新北市,45,,良好,2,0.22,45.8,49,20,5,9.7,10.2,0.3,2.0,28,2020-05-06 23:00,,0.3,8,22,3,121.6423,25.067131,2
萬里,新北市,54,臭氧八小時,普通,0.5,0.18,38.7,56,13,8,7.3,8,0.7,0.7,223,2020-05-06 23:00,,0.2,8,21,1,121.689881,25.179667,3
新店,新北市,36,,良好,1.9,0.29,34.8,39,5,6,11.1,11.7,0.6,1.3,38,2020-05-06 23:00,,0.4,9,13,2,121.537778,24.977222,4
土城,新北市,36,,良好,1.6,0.28,40.2,39,13,5,9.7,10.2,0.3,1.3,21,2020-05-06 23:00,,0.4,9,14,2,121.451861,24.982528,5
板橋,新北市,31,,良好,2.2,0.38,31.9,30,13,7,15,16.7,1.7,1.2,100,2020-05-06 23:00,,0.5,10,19,3,121.458667,25.012972,6
林口,新北市,43,,良好,2.9,0.13,16.9,19,17,5,4.2,4.5,0.3,4.6,254,2020-05-06 06:00,,0.2,13,28,2,121.376869,25.077197,9
淡水,新北市,32,,良好,2.4,0.19,9.5,17,24,5,11.1,11.8,0.7,1.8,330,2020-05-06 06:00,,0.2,10,24,2,121.449239,25.1645,10
士林,臺北市,54,細懸浮微粒,普通,2.5,0.17,13.1,16,14,8,8.1,9.3,1.3,1.6,12,2020-05-06 06:00,,0.4,17,30,3,121.515389,25.105417,11
中山,臺北市,65,細懸浮微粒,普通,2.7,0.73,4.2,13,26,17,22.5,35.4,12.9,0.7,21,2020-05-06 06:00,,0.6,21,35,3,121.526528,25.062361,12
萬華,臺北市,61,細懸浮微粒,普通,1.6,0.31,9.7,14,17,11,14.5,15.6,1.2,0.7,103,2020-05-06 06:00,,0.4,19,32,1,121.507972,25.046503,13
古亭,臺北市,61,細懸浮微粒,普通,1.5,0.23,15.4,20,19,10,9.9,12.1,2.2,0.7,147,2020-05-06 06:00,,0.3,20,29,1,121.529556,25.020608,14
松山,臺北市,63,細懸浮微粒,普通,1.8,0.4,11.2,18,23,14,12,34.9,22.9,0.6,212,2020-05-06 06:00,,0.4,20,35,3,121.578611,25.05,15
大同,臺北市,68,細懸浮微粒,普通,2.2,0.74,-,-,18,17,21.6,45,23.5,-,-,2020-05-06 06:00,,0.7,22,35,3,121.513311,25.0632,16
桃園,桃園市,45,,良好,1.1,0.15,11.9,12,5,8,6.5,7.4,0.9,1.6,238,2020-05-06 06:00,,0.3,14,25,3,121.30872222,24.98677778,17
大園,桃園市,37,,良好,2.2,0.15,18.7,23,13,8,5.7,6.8,1.1,6.2,253,2020-05-06 06:00,,0.2,11,27,3,121.201811,25.060344,18
觀音,桃園市,28,,良好,1.1,0.14,16.4,20,21,8,2.9,3.1,0.3,5.9,248,2020-05-06 06:00,,0.2,9,26,2,121.082761,25.035503,19
